month	EM1_HollowSurf	EM1_Hollow5cm	EM1_Hollow20cm	EM1_Hollow40cm	EM1_Hollow80cm	EM1_Hollow160cm	EM1_Hollow200cm
12	-0.31	0.186875	1.675208333	3.329229167	5.669020833	7.32675	7.250520833
12	-0.354583333	0.117895833	1.559729167	3.176479167	5.499166667	7.194229167	7.1358125
12	-0.4775	0.022979167	1.4498125	3.03875	5.348604167	7.081666667	7.0453125
12	-0.730208333	-0.128479167	1.3264375	2.885104167	5.177833333	6.945958333	6.9275625
12	-0.87	-0.1425	1.365916667	2.9081875	5.190520833	6.997604167	6.996854167
12	-0.772083333	-0.106479167	1.351291667	2.861875	5.1174375	6.952479167	6.964958333
12	-0.896458333	-0.181479167	1.286979167	2.780125	5.019708333	6.884666667	6.914729167
12	-1.071041667	-0.2568125	1.253875	2.732333333	4.957916667	6.85075	6.898625
12	-0.972083333	-0.183125	1.310875	2.770333333	4.9800625	6.900479167	6.960979167
12	-0.8175	-0.135458333	1.285645833	2.7236875	4.914229167	6.856104167	6.931833333
12	-0.841666667	-0.159791667	1.249875	2.669416667	4.8451875	6.809875	6.899770833
12	-0.931875	-0.239604167	1.1589375	2.562833333	4.724291667	6.7086875	6.818020833
12	-0.923541667	-0.202916667	1.202625	2.5905625	4.737166667	6.743958333	6.864666667
12	-0.660833333	-0.1045	1.196958333	2.563416667	4.692416667	6.717270833	6.850520833
12	-0.543333333	-0.026458333	1.2395625	2.5955625	4.715145833	6.758229167	6.9106875
12	-0.605833333	-0.079479167	1.170395833	2.5024375	4.601666667	6.659583333	6.822083333
12	-0.772708333	-0.1931875	1.071291667	2.385979167	4.470583333	6.54325	6.7204375
12	-0.736041667	-0.115020833	1.165354167	2.470020833	4.542375	6.631458333	6.822458333
12	-0.629583333	-0.109583333	1.102833333	2.385291667	4.437104167	6.536666667	6.738979167
12	-0.693541667	-0.20575	0.972041667	2.234270833	4.267854167	6.37625	6.593625
12	-0.877291667	-0.258333333	0.98725	2.250125	4.279979167	6.4063125	6.640875
12	-0.679791667	-0.1218125	1.082020833	2.321770833	4.328125	6.463895833	6.703708333
12	-0.639375	-0.178125	0.961020833	2.1853125	4.177125	6.321708333	6.576
12	-0.416666667	0.050979167	1.186354167	2.400416667	4.380375	6.539104167	6.804270833
12	-0.342083333	0.023541667	1.0849375	2.269666667	4.22625	6.389875	6.660458333
