year	doy	hour	CAM1_DBTCDT
2011	12	13	0.556
2011	12	14	0.5565
2011	12	15	0.5555
2011	12	16	0.556
2011	12	17	0.555
2011	12	18	0.5535
2011	12	19	0.553
2011	12	20	0.553
2011	12	21	0.5525
2011	12	22	0.552
2011	12	23	0.552
2011	13	0	0.5515
2011	13	1	0.5515
2011	13	2	0.5505
2011	13	3	0.5515
2011	13	4	0.5505
2011	13	5	0.5515
2011	13	6	0.551
2011	13	7	0.5525
2011	13	8	0.5565
2011	13	9	0.56
2011	13	10	0.5625
2011	13	11	0.5645
2011	13	12	0.565
2011	13	13	0.5615
2011	13	14	0.566
2011	13	15	0.5705
2011	13	16	0.5635
2011	13	17	0.567
2011	13	18	0.5685
2011	13	19	0.5975
2011	13	20	0.6
2011	13	21	0.608
2011	13	22	0.614
2011	13	23	0.6175
2011	14	0	0.614
2011	14	1	0.615
2011	14	2	0.6115
2011	14	3	0.609
2011	14	4	0.6075
2011	14	5	0.614
2011	14	6	0.608
2011	14	7	0.6165
2011	14	8	0.6055
2011	14	9	0.599
2011	14	10	0.595
2011	14	11	0.6
2011	14	12	0.605
2011	14	13	0.603
2011	14	14	0.612
2011	14	15	0.6275
2011	14	16	0.642
2011	14	17	0.646
2011	14	18	0.645
2011	14	19	0.65
2011	14	20	0.658
2011	14	21	0.667
2011	14	22	0.6765
2011	14	23	0.675
2011	15	0	0.6595
2011	15	1	0.672
2011	15	2	0.67
2011	15	3	0.666
2011	15	4	0.662
2011	15	5	0.6595
2011	15	6	0.655
2011	15	7	0.654
2011	15	8	0.65
2011	15	9	0.644
2011	15	10	0.6325
2011	15	11	0.6445
2011	15	12	0.652
2011	15	13	0.6525
2011	15	14	0.647
2011	15	15	0.647
2011	15	16	0.6465
2011	15	17	0.6445
2011	15	18	0.642
2011	15	19	0.6425
2011	15	20	0.6435
2011	15	21	0.642
2011	15	22	0.641
2011	15	23	0.6415
2011	16	0	0.64
2011	16	1	0.638
2011	16	2	0.6375
2011	16	3	0.637
2011	16	4	0.637
2011	16	5	0.6345
2011	16	6	0.6315
2011	16	7	0.627
2011	16	8	0.628
2011	16	9	0.629
2011	16	10	0.623
2011	16	11	0.622
2011	16	12	0.6225
2011	16	13	0.6235
2011	16	14	0.622
2011	16	15	0.623
2011	16	16	0.623
2011	16	17	0.6225
2011	16	18	0.6225
2011	16	19	0.6225
2011	16	20	0.6215
2011	16	21	0.6205
2011	16	22	0.619
2011	16	23	0.6185
2011	17	0	0.622
2011	17	1	0.638
2011	17	2	0.6485
2011	17	3	0.6525
2011	17	4	0.6485
2011	17	5	0.665
2011	17	6	0.6635
2011	17	7	0.666
2011	17	8	0.671
2011	17	9	0.6765
2011	17	10	0.6715
2011	17	11	0.67
2011	17	12	0.6675
2011	17	13	0.6575
2011	17	14	0.651
2011	17	15	0.665
2011	17	16	0.6635
2011	17	17	0.659
2011	17	18	0.667
2011	17	19	0.665
2011	17	20	0.667
2011	17	21	0.666
2011	17	22	0.668
2011	17	23	0.6675
2011	18	0	0.668
2011	18	1	0.667
2011	18	2	0.666
2011	18	3	0.6655
2011	18	4	0.6645
2011	18	5	0.6635
2011	18	6	0.663
2011	18	7	0.661
2011	18	8	0.6595
2011	18	9	0.6575
2011	18	10	0.6555
2011	18	11	0.6525
2011	18	12	0.651
2011	18	13	0.653
2011	18	14	NA
2011	18	15	NA
2011	18	16	NA
2011	18	17	NA
2011	18	18	NA
2011	18	19	NA
2011	18	20	NA
2011	18	21	NA
2011	18	22	NA
2011	18	23	NA
2011	19	0	NA
2011	19	1	NA
2011	19	2	NA
2011	19	3	NA
2011	19	4	NA
2011	19	5	NA
2011	19	6	NA
2011	19	7	NA
2011	19	8	NA
2011	19	9	NA
2011	19	10	NA
2011	19	11	NA
2011	19	12	NA
2011	19	13	NA
2011	19	14	NA
2011	19	15	NA
2011	19	16	NA
2011	19	17	NA
2011	19	18	NA
2011	19	19	NA
2011	19	20	NA
2011	19	21	NA
2011	19	22	NA
2011	19	23	NA
2011	20	0	NA
2011	20	1	0.637
2011	20	2	0.6235
2011	20	3	0.6405
2011	20	4	0.649
2011	20	5	0.6445
2011	20	6	0.646
2011	20	7	0.6475
2011	20	8	0.6485
2011	20	9	0.646
2011	20	10	0.6455
2011	20	11	0.6455
2011	20	12	0.6435
2011	20	13	0.643
2011	20	14	0.6425
2011	20	15	0.643
2011	20	16	0.6435
2011	20	17	0.644
2011	20	18	0.6405
2011	20	19	0.6415
2011	20	20	0.639
2011	20	21	0.638
2011	20	22	0.6405
2011	20	23	0.64
2011	21	0	0.64
2011	21	1	0.638
2011	21	2	0.636
2011	21	3	0.636
2011	21	4	0.6345
2011	21	5	0.634
2011	21	6	0.6335
2011	21	7	0.638
2011	21	8	0.641
2011	21	9	0.6395
2011	21	10	0.6375
2011	21	11	0.6365
2011	21	12	0.637
2011	21	13	0.635
2011	21	14	0.634
2011	21	15	0.6325
2011	21	16	0.6315
2011	21	17	0.6325
2011	21	18	0.633
2011	21	19	0.6305
2011	21	20	0.6295
2011	21	21	0.6285
2011	21	22	0.628
2011	21	23	0.632
2011	22	0	0.6295
2011	22	1	0.636
2011	22	2	0.6375
2011	22	3	0.64
2011	22	4	0.637
2011	22	5	0.6455
2011	22	6	0.6355
2011	22	7	0.637
2011	22	8	0.6385
2011	22	9	0.645
2011	22	10	0.629
2011	22	11	0.631
2011	22	12	0.632
2011	22	13	0.6325
2011	22	14	0.636
2011	22	15	0.6365
2011	22	16	0.637
2011	22	17	0.6335
2011	22	18	0.638
2011	22	19	0.6365
2011	22	20	0.638
2011	22	21	0.638
2011	22	22	0.6395
2011	22	23	0.6375
2011	23	0	0.6375
2011	23	1	0.637
2011	23	2	0.637
2011	23	3	0.637
2011	23	4	0.639
2011	23	5	0.6385
2011	23	6	0.637
2011	23	7	0.643
2011	23	8	0.6475
2011	23	9	0.6445
2011	23	10	0.6315
2011	23	11	0.631
2011	23	12	0.629
2011	23	13	0.631
2011	23	14	0.635
2011	23	15	0.628
2011	23	16	0.6355
2011	23	17	0.639
2011	23	18	0.6415
2011	23	19	0.644
2011	23	20	0.643
2011	23	21	0.6425
2011	23	22	0.642
2011	23	23	0.6405
2011	24	0	0.651
2011	24	1	0.655
2011	24	2	0.654
2011	24	3	0.6545
2011	24	4	0.656
2011	24	5	0.6555
2011	24	6	0.654
2011	24	7	0.665
2011	24	8	0.667
2011	24	9	0.6655
2011	24	10	0.662
2011	24	11	0.66
2011	24	12	0.657
2011	24	13	0.658
2011	24	14	0.658
2011	24	15	0.656
2011	24	16	0.654
2011	24	17	0.653
2011	24	18	0.653
2011	24	19	0.654
2011	24	20	0.6525
2011	24	21	0.6505
2011	24	22	0.6475
2011	24	23	0.6495
2011	25	0	0.6455
2011	25	1	0.6465
2011	25	2	0.6475
2011	25	3	0.642
2011	25	4	0.647
2011	25	5	0.6465
2011	25	6	0.6475
2011	25	7	0.644
2011	25	8	0.645
2011	25	9	0.6435
2011	25	10	0.64
2011	25	11	0.673
2011	25	12	0.654
2011	25	13	0.648
2011	25	14	0.638
2011	25	15	0.631
2011	25	16	0.6275
2011	25	17	0.6265
2011	25	18	0.6275
2011	25	19	0.6275
2011	25	20	0.627
2011	25	21	0.624
2011	25	22	0.624
2011	25	23	0.6265
2011	26	0	0.6255
2011	26	1	0.629
2011	26	2	0.621
2011	26	3	0.6335
2011	26	4	0.643
2011	26	5	0.6435
2011	26	6	0.641
2011	26	7	0.6385
2011	26	8	0.6395
2011	26	9	0.6365
2011	26	10	0.6415
2011	26	11	0.644
2011	26	12	0.653
2011	26	13	0.658
2011	26	14	0.643
2011	26	15	0.6345
2011	26	16	0.628
2011	26	17	0.621
2011	26	18	0.62
2011	26	19	0.625
2011	26	20	0.626
2011	26	21	0.6275
2011	26	22	0.6275
2011	26	23	0.6285
2011	27	0	0.6285
2011	27	1	0.6295
2011	27	2	0.6295
2011	27	3	0.6295
2011	27	4	0.63
2011	27	5	0.63
2011	27	6	0.629
2011	27	7	0.629
2011	27	8	0.6285
2011	27	9	0.629
2011	27	10	0.628
2011	27	11	0.6285
2011	27	12	0.6285
2011	27	13	0.6285
2011	27	14	0.649
2011	27	15	0.648
2011	27	16	0.6345
2011	27	17	0.6325
2011	27	18	0.629
2011	27	19	0.629
2011	27	20	0.6275
2011	27	21	0.627
2011	27	22	0.626
2011	27	23	0.6255
2011	28	0	0.625
2011	28	1	0.625
2011	28	2	0.625
2011	28	3	0.6245
2011	28	4	0.624
2011	28	5	0.624
2011	28	6	0.6235
2011	28	7	0.623
2011	28	8	0.623
2011	28	9	0.6225
2011	28	10	0.6225
2011	28	11	0.6215
2011	28	12	0.6235
2011	28	13	0.6255
2011	28	14	0.624
2011	28	15	0.658
2011	28	16	0.671
2011	28	17	0.6715
2011	28	18	0.6725
2011	28	19	0.6735
2011	28	20	0.673
2011	28	21	0.6725
2011	28	22	0.6715
2011	28	23	0.671
2011	29	0	0.67
2011	29	1	0.669
2011	29	2	0.6685
2011	29	3	0.6655
2011	29	4	0.6655
2011	29	5	0.665
2011	29	6	0.6645
2011	29	7	0.665
2011	29	8	0.6625
2011	29	9	0.664
2011	29	10	0.6695
2011	29	11	0.6735
2011	29	12	0.672
2011	29	13	0.6735
2011	29	14	0.68
2011	29	15	0.68
2011	29	16	0.6735
2011	29	17	0.675
2011	29	18	0.6745
2011	29	19	0.674
2011	29	20	0.6745
2011	29	21	0.675
2011	29	22	0.6765
2011	29	23	0.677
2011	30	0	0.666
2011	30	1	0.667
2011	30	2	0.655
2011	30	3	0.653
2011	30	4	0.6525
2011	30	5	0.6535
2011	30	6	0.6505
2011	30	7	0.6505
2011	30	8	0.6535
2011	30	9	0.6565
2011	30	10	0.658
2011	30	11	0.6615
2011	30	12	0.663
2011	30	13	0.664
2011	30	14	0.664
2011	30	15	0.6615
2011	30	16	0.663
2011	30	17	0.661
2011	30	18	0.6625
2011	30	19	0.665
2011	30	20	0.659
2011	30	21	0.6575
2011	30	22	0.656
2011	30	23	0.658
2011	31	0	0.656
2011	31	1	0.6555
2011	31	2	0.655
2011	31	3	0.6565
2011	31	4	0.657
2011	31	5	0.6545
2011	31	6	0.654
2011	31	7	0.6515
2011	31	8	0.6505
2011	31	9	0.652
2011	31	10	0.654
2011	31	11	0.655
2011	31	12	0.656
2011	31	13	0.652
2011	31	14	0.654
2011	31	15	0.653
2011	31	16	0.654
2011	31	17	0.655
2011	31	18	0.6545
2011	31	19	0.654
2011	31	20	0.6535
2011	31	21	0.6535
2011	31	22	0.6515
2011	31	23	0.6505
2011	32	0	0.6505
2011	32	1	0.649
2011	32	2	0.647
2011	32	3	0.6495
2011	32	4	0.6475
2011	32	5	0.647
2011	32	6	0.646
2011	32	7	0.647
2011	32	8	0.648
2011	32	9	0.646
2011	32	10	0.642
2011	32	11	0.645
2011	32	12	0.645
2011	32	13	0.645
2011	32	14	0.6435
2011	32	15	0.644
2011	32	16	0.6475
2011	32	17	0.6445
2011	32	18	0.6455
2011	32	19	0.648
2011	32	20	0.6425
2011	32	21	0.6445
2011	32	22	0.6425
2011	32	23	0.65
2011	33	0	0.6445
2011	33	1	0.638
2011	33	2	0.6425
2011	33	3	0.644
2011	33	4	0.645
2011	33	5	0.6455
2011	33	6	0.6455
2011	33	7	0.645
2011	33	8	0.6455
2011	33	9	0.645
2011	33	10	0.6345
2011	33	11	0.638
2011	33	12	0.6385
2011	33	13	0.641
2011	33	14	0.6385
2011	33	15	0.6385
2011	33	16	0.6405
2011	33	17	0.6395
2011	33	18	0.639
2011	33	19	0.641
2011	33	20	0.6425
2011	33	21	0.642
2011	33	22	0.643
2011	33	23	0.6455
2011	34	0	0.644
2011	34	1	0.643
2011	34	2	0.643
2011	34	3	0.6425
2011	34	4	0.642
2011	34	5	0.6415
2011	34	6	0.642
2011	34	7	0.6395
2011	34	8	0.6435
2011	34	9	0.6395
2011	34	10	0.637
2011	34	11	0.6365
2011	34	12	0.638
2011	34	13	0.638
2011	34	14	0.637
2011	34	15	0.6385
2011	34	16	0.6375
2011	34	17	0.638
2011	34	18	0.638
2011	34	19	0.6375
2011	34	20	0.637
2011	34	21	0.637
2011	34	22	0.6365
2011	34	23	0.6325
2011	35	0	0.6335
2011	35	1	0.633
2011	35	2	0.636
2011	35	3	0.6355
2011	35	4	0.6355
2011	35	5	0.634
2011	35	6	0.6315
2011	35	7	0.636
2011	35	8	0.639
2011	35	9	0.6415
2011	35	10	0.6485
2011	35	11	0.6475
2011	35	12	0.6475
2011	35	13	0.647
2011	35	14	0.646
2011	35	15	0.6445
2011	35	16	0.6445
2011	35	17	0.644
2011	35	18	0.645
2011	35	19	0.6425
2011	35	20	0.6435
2011	35	21	0.644
2011	35	22	0.643
2011	35	23	0.643
2011	36	0	0.641
2011	36	1	0.642
2011	36	2	0.6405
2011	36	3	0.641
2011	36	4	0.6425
2011	36	5	0.642
2011	36	6	0.6415
2011	36	7	0.641
2011	36	8	0.64
2011	36	9	0.64
2011	36	10	0.641
2011	36	11	0.641
2011	36	12	0.64
2011	36	13	0.64
2011	36	14	0.6395
2011	36	15	0.639
2011	36	16	0.639
2011	36	17	0.6395
2011	36	18	0.6385
2011	36	19	0.639
2011	36	20	0.6385
2011	36	21	0.638
2011	36	22	0.638
2011	36	23	0.638
2011	37	0	0.6375
2011	37	1	0.637
2011	37	2	0.6365
2011	37	3	0.637
2011	37	4	0.637
2011	37	5	0.6365
2011	37	6	0.636
2011	37	7	0.636
2011	37	8	0.6355
2011	37	9	0.6355
2011	37	10	0.6345
2011	37	11	0.6345
2011	37	12	0.6335
2011	37	13	0.634
2011	37	14	0.633
2011	37	15	0.633
2011	37	16	0.633
2011	37	17	0.633
2011	37	18	0.633
2011	37	19	0.6335
2011	37	20	0.632
2011	37	21	0.632
2011	37	22	0.6315
2011	37	23	0.631
2011	38	0	0.631
2011	38	1	0.6315
2011	38	2	0.631
2011	38	3	0.631
2011	38	4	0.631
2011	38	5	0.631
2011	38	6	0.631
2011	38	7	0.629
2011	38	8	0.628
2011	38	9	0.626
2011	38	10	0.6265
2011	38	11	0.6285
2011	38	12	0.6355
2011	38	13	0.63
2011	38	14	0.623
2011	38	15	0.623
2011	38	16	0.623
2011	38	17	0.6215
2011	38	18	0.6215
2011	38	19	0.624
2011	38	20	0.625
2011	38	21	0.624
2011	38	22	0.6225
2011	38	23	0.624
2011	39	0	0.6255
2011	39	1	0.625
2011	39	2	0.625
2011	39	3	0.6255
2011	39	4	0.625
2011	39	5	0.623
2011	39	6	0.623
2011	39	7	0.6235
2011	39	8	0.624
2011	39	9	0.6235
2011	39	10	0.622
2011	39	11	0.621
2011	39	12	0.6185
2011	39	13	0.6215
2011	39	14	0.6205
2011	39	15	0.6185
2011	39	16	0.622
2011	39	17	0.622
2011	39	18	0.621
2011	39	19	0.623
2011	39	20	0.6245
2011	39	21	0.6235
2011	39	22	0.628
2011	39	23	0.6235
2011	40	0	0.624
2011	40	1	0.622
2011	40	2	0.622
2011	40	3	0.625
2011	40	4	0.6225
2011	40	5	0.625
2011	40	6	0.622
2011	40	7	0.631
2011	40	8	0.623
2011	40	9	0.6275
2011	40	10	0.623
2011	40	11	0.621
2011	40	12	0.622
2011	40	13	0.6235
2011	40	14	0.6225
2011	40	15	0.623
2011	40	16	0.624
2011	40	17	0.6225
2011	40	18	0.6215
2011	40	19	0.6215
2011	40	20	0.6255
2011	40	21	0.624
2011	40	22	0.625
2011	40	23	0.6235
2011	41	0	0.6235
2011	41	1	0.624
2011	41	2	0.625
2011	41	3	0.625
2011	41	4	0.625
2011	41	5	0.6255
2011	41	6	0.626
2011	41	7	0.6255
