     39,        -3.3463,        -1.2204,        -1.0000,        -0.6283,        -0.0406,         0.5405,         1.3943,         2.4868,         3.5137,         4.4694,         5.3538
     40,        -3.2825,        -1.2241,        -1.0000,        -0.6321,        -0.0475,         0.5307,         1.3807,         2.4698,         3.4952,         4.4508,         5.3359
     41,        -3.2188,        -1.2113,        -1.0000,        -0.6358,        -0.0542,         0.5212,         1.3676,         2.4533,         3.4770,         4.4324,         5.3180
     42,        -3.1603,        -1.2090,        -1.0000,        -0.6393,        -0.0606,         0.5121,         1.3550,         2.4372,         3.4592,         4.4141,         5.3001
     43,        -3.0971,        -1.2186,        -1.0000,        -0.6426,        -0.0668,         0.5032,         1.3427,         2.4216,         3.4418,         4.3961,         5.2822
     44,        -2.9886,        -1.1352,        -1.0000,        -0.6460,        -0.0728,         0.4946,         1.3307,         2.4063,         3.4246,         4.3783,         5.2643
     45,        -2.8559,        -1.0000,        -1.0000,        -0.6475,        -0.0783,         0.4864,         1.3191,         2.3914,         3.4078,         4.3606,         5.2464
     46,        -2.8139,        -1.0000,        -1.0000,        -0.6470,        -0.0824,         0.4788,         1.3079,         2.3769,         3.3912,         4.3431,         5.2285
     47,        -2.7738,        -1.0000,        -1.0000,        -0.6460,        -0.0856,         0.4721,         1.2972,         2.3627,         3.3750,         4.3257,         5.2106
     48,        -2.7297,        -1.0000,        -1.0000,        -0.6448,        -0.0882,         0.4661,         1.2871,         2.3489,         3.3589,         4.3085,         5.1928
     49,        -2.6838,        -1.0000,        -1.0000,        -0.6433,        -0.0904,         0.4605,         1.2775,         2.3355,         3.3432,         4.2914,         5.1749
     50,        -2.6410,        -1.0000,        -1.0000,        -0.6417,        -0.0923,         0.4554,         1.2683,         2.3224,         3.3277,         4.2745,         5.1571
     51,        -2.5978,        -1.0000,        -1.0000,        -0.6399,        -0.0939,         0.4508,         1.2596,         2.3098,         3.3125,         4.2577,         5.1393
     52,        -2.5553,        -1.0000,        -1.0000,        -0.6381,        -0.0952,         0.4464,         1.2513,         2.2975,         3.2975,         4.2410,         5.1215
     53,        -2.5136,        -1.0000,        -1.0000,        -0.6361,        -0.0964,         0.4423,         1.2434,         2.2855,         3.2828,         4.2245,         5.1037
     54,        -2.4717,        -1.0000,        -1.0000,        -0.6341,        -0.0974,         0.4385,         1.2357,         2.2739,         3.2683,         4.2082,         5.0859
     55,        -2.4314,        -1.0000,        -1.0000,        -0.6320,        -0.0982,         0.4350,         1.2284,         2.2625,         3.2541,         4.1919,         5.0682
     56,        -2.3971,        -1.0000,        -1.0000,        -0.6298,        -0.0988,         0.4316,         1.2214,         2.2515,         3.2401,         4.1758,         5.0505
     57,        -2.3677,        -1.0000,        -1.0000,        -0.6276,        -0.0993,         0.4284,         1.2146,         2.2407,         3.2263,         4.1599,         5.0329
     58,        -2.3367,        -1.0000,        -1.0000,        -0.6252,        -0.0997,         0.4255,         1.2081,         2.2302,         3.2127,         4.1440,         5.0153
     59,        -2.3039,        -1.0000,        -1.0000,        -0.6229,        -0.1000,         0.4227,         1.2018,         2.2199,         3.1994,         4.1283,         4.9977
     60,        -2.2708,        -1.0000,        -1.0000,        -0.6205,        -0.1002,         0.4200,         1.1957,         2.2099,         3.1862,         4.1127,         4.9801
     61,        -2.2427,        -1.0000,        -1.0000,        -0.6180,        -0.1002,         0.4175,         1.1898,         2.2000,         3.1732,         4.0973,         4.9626
     62,        -2.2143,        -1.0000,        -1.0000,        -0.6155,        -0.1002,         0.4151,         1.1840,         2.1904,         3.1604,         4.0819,         4.9452
     63,        -2.1842,        -1.0000,        -1.0000,        -0.6129,        -0.1001,         0.4129,         1.1785,         2.1809,         3.1477,         4.0667,         4.9277
     64,        -2.1559,        -1.0000,        -1.0000,        -0.6103,        -0.0999,         0.4108,         1.1730,         2.1716,         3.1352,         4.0515,         4.9104
     65,        -2.1279,        -1.0000,        -1.0000,        -0.6077,        -0.0996,         0.4088,         1.1678,         2.1625,         3.1229,         4.0365,         4.8930
     66,        -2.1006,        -1.0000,        -1.0000,        -0.6049,        -0.0992,         0.4069,         1.1627,         2.1536,         3.1107,         4.0216,         4.8758
     67,        -2.0758,        -1.0000,        -1.0000,        -0.6022,        -0.0988,         0.4051,         1.1577,         2.1448,         3.0986,         4.0067,         4.8585
     68,        -2.0499,        -1.0000,        -1.0000,        -0.5993,        -0.0982,         0.4034,         1.1528,         2.1361,         3.0867,         3.9920,         4.8413
     69,        -2.0239,        -1.0000,        -1.0000,        -0.5965,        -0.0976,         0.4018,         1.1481,         2.1276,         3.0749,         3.9773,         4.8242
     70,        -2.0052,        -1.0132,        -1.0000,        -0.5936,        -0.0970,         0.4003,         1.1435,         2.1192,         3.0632,         3.9628,         4.8071
     71,        -1.9871,        -1.0291,        -1.0000,        -0.5909,        -0.0963,         0.3988,         1.1390,         2.1109,         3.0516,         3.9483,         4.7901
