 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4, QC5, QC6, QC7, QC8, Rh_d
      1,         0.0000,         0.4936,         0.4936,         0.0000,         0.4417,       449.5389,       379.9996,       249.9469,       119.5022,       299.9994,       321.9343,     38340.0000,     23120.0000,         0.0519
      2,         0.0000,         0.3907,         0.3907,         0.0000,         0.2985,       449.0038,       379.9988,       249.8510,       120.1107,       299.9979,       321.8184,     38340.0000,     23120.0000,         0.0922
      3,         0.0000,         0.2639,         0.2639,         0.0000,         0.1733,       448.4692,       379.9981,       249.7554,       120.7178,       299.9965,       321.7049,     38340.0000,     23120.0000,         0.0907
      4,         0.0005,         0.3137,         0.3141,         0.0000,         0.2240,       447.9352,       379.9974,       249.6606,       121.3230,       299.9950,       321.5933,     38340.0000,     23120.0000,         0.0901
      5,         0.0000,         0.5038,         0.5038,         0.0000,         0.4141,       447.4020,       379.9966,       249.5665,       121.9260,       299.9935,       321.4832,     38340.0000,     23120.0000,         0.0897
      6,         0.0000,         0.3292,         0.3292,         0.0000,         0.2396,       446.8694,       379.9959,       249.4733,       122.5268,       299.9921,       321.3743,     38340.0000,     23120.0000,         0.0896
      7,         0.0000,         0.3966,         0.3966,         0.0000,         0.3072,       446.3374,       379.9952,       249.3808,       123.1255,       299.9906,       321.2666,     38340.0000,     23120.0000,         0.0895
      8,         0.0000,         0.2747,         0.2747,         0.0000,         0.1854,       445.8061,       379.9944,       249.2890,       123.7221,       299.9891,       321.1600,     38340.0000,     23120.0000,         0.0893
      9,         0.0000,         0.2214,         0.2214,         0.0000,         0.1323,       445.2753,       379.9937,       249.1980,       124.3168,       299.9877,       321.0545,     38340.0000,     23120.0000,         0.0891
     10,         0.0000,         0.3074,         0.3074,         0.0000,         0.2185,       444.7452,       379.9930,       249.1077,       124.9094,       299.9862,       320.9503,     38340.0000,     23120.0000,         0.0889
     11,         0.0000,         0.4265,         0.4265,         0.0000,         0.3377,       444.2157,       379.9922,       249.0181,       125.5000,       299.9847,       320.8473,     38340.0000,     23120.0000,         0.0888
     12,         0.0000,         0.4057,         0.4057,         0.0000,         0.3170,       443.6869,       379.9915,       248.9291,       126.0887,       299.9833,       320.7451,     38340.0000,     23120.0000,         0.0887
     13,         0.0000,         0.4125,         0.4125,         0.0000,         0.3238,       443.1587,       379.9908,       248.8407,       126.6754,       299.9818,       320.6441,     38340.0000,     23120.0000,         0.0886
     14,         0.0000,         0.3569,         0.3569,         0.0000,         0.2683,       442.6311,       379.9901,       248.7529,       127.2603,       299.9803,       320.5440,     38340.0000,     23120.0000,         0.0887
     15,         0.0000,         0.2403,         0.2403,         0.0000,         0.1516,       442.1042,       379.9893,       248.6655,       127.8434,       299.9789,       320.4449,     38340.0000,     23120.0000,         0.0887
     16,         0.0000,         0.2088,         0.2088,         0.0000,         0.1202,       441.5779,       379.9886,       248.5786,       128.4246,       299.9774,       320.3465,     38340.0000,     23120.0000,         0.0886
     17,         0.0000,         0.3400,         0.3400,         0.0000,         0.2514,       441.0521,       379.9879,       248.4922,       129.0040,       299.9760,       320.2491,     38340.0000,     23120.0000,         0.0886
     18,         0.0000,         0.2137,         0.2137,         0.0000,         0.1251,       440.5270,       379.9871,       248.4063,       129.5817,       299.9745,       320.1525,     38340.0000,     23120.0000,         0.0886
     19,         0.0000,         0.2257,         0.2257,         0.0000,         0.1371,       440.0026,       379.9864,       248.3208,       130.1577,       299.9723,       320.0568,     38340.0000,     23120.0000,         0.0886
     20,         0.0000,         0.1818,         0.1818,         0.0000,         0.0933,       439.4788,       379.9857,       248.2357,       130.7322,       299.9701,       319.9619,     38340.0000,     23120.0000,         0.0886
     21,         0.0000,         0.1396,         0.1396,         0.0000,         0.0509,       438.9556,       379.9849,       248.1509,       131.3051,       299.9679,       319.8675,     38340.0000,     23120.0000,         0.0887
     22,         0.0000,         0.1595,         0.1595,         0.0000,         0.0708,       438.4330,       379.9842,       248.0665,       131.8765,       299.9657,       319.7740,     38340.0000,     23120.0000,         0.0887
     23,         0.0000,         0.1972,         0.1972,         0.0000,         0.1085,       437.9111,       379.9835,       247.9823,       132.4464,       299.9635,       319.6810,     38340.0000,     23120.0000,         0.0887
     24,         0.0000,         0.3609,         0.3609,         0.0000,         0.2722,       437.3897,       379.9827,       247.8985,       133.0147,       299.9613,       319.5887,     38340.0000,     23120.0000,         0.0887
     25,         0.0000,         0.3833,         0.3833,         0.0000,         0.2945,       436.8690,       379.9820,       247.8150,       133.5816,       299.9591,       319.4972,     38340.0000,     23120.0000,         0.0889
     26,         0.0000,         0.4737,         0.4737,         0.0000,         0.3848,       436.3489,       379.9813,       247.7319,       134.1469,       299.9569,       319.4063,     38340.0000,     23120.0000,         0.0890
     27,         0.0000,         0.5201,         0.5201,         0.0000,         0.4310,       435.8295,       379.9805,       247.6489,       134.7107,       299.9547,       319.3159,     38340.0000,     23120.0000,         0.0891
     28,         0.0000,         0.4519,         0.4519,         0.0000,         0.3627,       435.3106,       379.9798,       247.5662,       135.2731,       299.9525,       319.2260,     38340.0000,     23120.0000,         0.0892
     29,         0.0000,         0.3938,         0.3938,         0.0000,         0.3043,       434.7924,       379.9791,       247.4838,       135.8339,       299.9503,       319.1367,     38340.0000,     23120.0000,         0.0895
     30,         0.0000,         0.2509,         0.2509,         0.0000,         0.1613,       434.2747,       379.9783,       247.4014,       136.3935,       299.9482,       319.0477,     38340.0000,     23120.0000,         0.0896
     31,         0.0000,         0.2114,         0.2114,         0.0000,         0.1218,       433.7582,       379.9776,       247.3193,       136.9512,       299.9460,       318.9598,     38340.0000,     23120.0000,         0.0897
     32,         0.0000,         0.1934,         0.1934,         0.0000,         0.1037,       433.2433,       379.9769,       247.2373,       137.5067,       299.9438,       318.8721,     38340.0000,     23120.0000,         0.0897
     33,         0.0000,         0.2007,         0.2007,         0.0000,         0.1111,       432.7301,       379.9761,       247.1557,       138.0598,       299.9416,       318.7846,     38340.0000,     23120.0000,         0.0897
     34,         0.0000,         0.3835,         0.3835,         0.0000,         0.2941,       432.2192,       379.9754,       247.0743,       138.6099,       299.9394,       318.6987,     38340.0000,     23120.0000,         0.0893
     35,         0.0000,         0.5799,         0.5799,         0.0000,         0.4903,       431.7105,       379.9747,       246.9932,       139.1570,       299.9372,       318.6130,     38340.0000,     23120.0000,         0.0896
     36,         0.0000,         0.5795,         0.5795,         0.0000,         0.4896,       431.2032,       379.9739,       246.9123,       139.7018,       299.9350,       318.5277,     38340.0000,     23120.0000,         0.0899
     37,         0.0000,         0.4388,         0.4388,         0.0000,         0.3489,       430.6975,       379.9732,       246.8316,       140.2443,       299.9328,       318.4430,     38340.0000,     23120.0000,         0.0899
     38,         0.0000,         0.1979,         0.1979,         0.0000,         0.1079,       430.1933,       379.9725,       246.7510,       140.7848,       299.9306,       318.3585,     38340.0000,     23120.0000,         0.0900
     39,         0.0000,         0.1869,         0.1869,         0.0000,         0.0969,       429.6906,       379.9717,       246.6707,       141.3233,       299.9284,       318.2748,     38340.0000,     23120.0000,         0.0900
     40,         0.0000,         0.1699,         0.1699,         0.0000,         0.0799,       429.1895,       379.9710,       246.5905,       141.8595,       299.9262,       318.1916,     38340.0000,     23120.0000,         0.0900
     41,         0.0539,         0.1063,         0.1602,         0.0000,         0.0702,       428.6901,       379.9703,       246.5106,       142.3934,       299.9240,       318.1084,     38340.0000,     23120.0000,         0.0900
     42,         0.0002,         0.2798,         0.2799,         0.0000,         0.1899,       428.1921,       379.9695,       246.4308,       142.9255,       299.9218,       318.0257,     38340.0000,     23120.0000,         0.0901
     43,         0.0004,         0.3351,         0.3354,         0.0000,         0.2454,       427.6957,       379.9688,       246.3513,       143.4553,       299.9196,       317.9439,     38340.0000,     23120.0000,         0.0900
     44,         0.1557,         0.3460,         0.5017,         0.0000,         0.4093,       427.1960,       379.9681,       246.2703,       143.9884,       299.9171,       317.8601,     38340.0000,     23120.0000,         0.0924
     45,         0.0000,         0.5808,         0.5808,         0.0000,         0.4832,       426.6875,       379.9673,       246.1857,       144.5309,       299.9142,       317.7715,     38340.0000,     23120.0000,         0.0976
     46,         0.1635,         0.4031,         0.5665,         0.0000,         0.4687,       426.1795,       379.9666,       246.1011,       145.0725,       299.9113,       317.6829,     38340.0000,     23120.0000,         0.0978
     47,         1.2855,        -0.8068,         0.4787,         0.0000,         0.3807,       425.6721,       379.9659,       246.0166,       145.6130,       299.9084,       317.5951,     38340.0000,     23120.0000,         0.0980
     48,         0.0009,         0.5742,         0.5751,         0.0000,         0.4769,       425.1652,       379.9651,       245.9320,       146.1525,       299.9054,       317.5072,     38340.0000,     23120.0000,         0.0982
     49,         0.0000,         0.2700,         0.2700,         0.0000,         0.1716,       424.6591,       379.9644,       245.8474,       146.6910,       299.9025,       317.4193,     38340.0000,     23120.0000,         0.0984
     50,         0.0001,         0.2240,         0.2241,         0.0000,         0.1255,       424.1536,       379.9637,       245.7628,       147.2283,       299.8996,       317.3321,     38340.0000,     23120.0000,         0.0987
     51,         0.0009,         0.2882,         0.2890,         0.0000,         0.1901,       423.6487,       379.9630,       245.6782,       147.7647,       299.8966,       317.2449,     38340.0000,     23120.0000,         0.0989
     52,         0.0018,         0.3195,         0.3213,         0.0000,         0.2222,       423.1443,       379.9622,       245.5936,       148.3000,       299.8937,       317.1577,     38340.0000,     23120.0000,         0.0991
     53,         0.0034,         0.3091,         0.3125,         0.0000,         0.2131,       422.6405,       379.9615,       245.5090,       148.8342,       299.8908,       317.0713,     38340.0000,     23120.0000,         0.0994
     54,         0.0000,         0.4226,         0.4226,         0.0000,         0.3230,       422.1373,       379.9608,       245.4245,       149.3673,       299.8878,       316.9849,     38340.0000,     23120.0000,         0.0996
     55,         0.0000,         0.2642,         0.2642,         0.0000,         0.1643,       421.6348,       379.9600,       245.3399,       149.8994,       299.8849,       316.8985,     38340.0000,     23120.0000,         0.0999
     56,         0.0000,         0.1647,         0.1647,         0.0000,         0.0645,       421.1329,       379.9593,       245.2552,       150.4305,       299.8820,       316.8128,     38340.0000,     23120.0000,         0.1002
     57,         0.0127,         0.1358,         0.1485,         0.0000,         0.0480,       420.6315,       379.9586,       245.1703,       150.9608,       299.8791,       316.7271,     38340.0000,     23120.0000,         0.1004
     58,         0.0087,         0.2418,         0.2506,         0.0000,         0.1499,       420.1307,       379.9578,       245.0853,       151.4902,       299.8761,       316.6411,     38340.0000,     23120.0000,         0.1007
     59,         0.3847,        -0.0823,         0.3024,         0.0000,         0.2015,       419.6305,       379.9571,       245.0004,       152.0185,       299.8732,       316.5556,     38340.0000,     23120.0000,         0.1009
     60,         0.0208,         0.2548,         0.2756,         0.0000,         0.1744,       419.1310,       379.9564,       244.9154,       152.5458,       299.8703,       316.4699,     38340.0000,     23120.0000,         0.1012
     61,         0.0000,         0.1750,         0.1750,         0.0000,         0.0736,       418.6320,       379.9556,       244.8304,       153.0721,       299.8673,       316.3842,     38340.0000,     23120.0000,         0.1015
     62,         0.0242,         0.2701,         0.2942,         0.0000,         0.1925,       418.1336,       379.9549,       244.7455,       153.5974,       299.8644,       316.2992,     38340.0000,     23120.0000,         0.1017
     63,         0.0254,         0.3008,         0.3262,         0.0000,         0.2242,       417.6358,       379.9542,       244.6601,       154.1220,       299.8615,       316.2142,     38340.0000,     23120.0000,         0.1020
     64,         0.1235,         0.1484,         0.2719,         0.0000,         0.1696,       417.1386,       379.9534,       244.5748,       154.6455,       299.8586,       316.1292,     38340.0000,     23120.0000,         0.1023
     65,         0.0000,         0.3077,         0.3077,         0.0000,         0.2052,       416.6420,       379.9527,       244.4895,       155.1680,       299.8556,       316.0448,     38340.0000,     23120.0000,         0.1026
     66,         0.1201,         0.1718,         0.2919,         0.0000,         0.1891,       416.1460,       379.9520,       244.4041,       155.6895,       299.8527,       315.9598,     38340.0000,     23120.0000,         0.1028
     67,         0.4212,        -0.0888,         0.3324,         0.0000,         0.2294,       415.6506,       379.9512,       244.3188,       156.2099,       299.8498,       315.8748,     38340.0000,     23120.0000,         0.1031
     68,         0.3738,         0.0847,         0.4585,         0.0000,         0.3551,       415.1558,       379.9505,       244.2332,       156.7296,       299.8468,       315.7905,     38340.0000,     23120.0000,         0.1033
     69,         0.2613,         0.1832,         0.4445,         0.0000,         0.3409,       414.6615,       379.9498,       244.1476,       157.2484,       299.8439,       315.7062,     38340.0000,     23120.0000,         0.1036
     70,         0.1165,         0.3248,         0.4413,         0.0000,         0.3376,       414.1678,       379.9490,       244.0619,       157.7662,       299.8410,       315.6220,     38340.0000,     23120.0000,         0.1038
     71,         0.1253,         0.2548,         0.3801,         0.0000,         0.2761,       413.6748,       379.9483,       243.9762,       158.2830,       299.8380,       315.5382,     38340.0000,     23120.0000,         0.1040
     72,         0.1510,         0.1792,         0.3303,         0.0000,         0.2261,       413.1823,       379.9476,       243.8903,       158.7991,       299.8351,       315.4547,     38340.0000,     23120.0000,         0.1041
     73,         0.7094,        -0.3071,         0.4023,         0.0000,         0.2980,       412.6904,       379.9468,       243.8043,       159.3144,       299.8322,       315.3714,     38340.0000,     23120.0000,         0.1043
     74,         0.6162,        -0.1084,         0.5078,         0.0000,         0.4036,       412.1991,       379.9461,       243.7183,       159.8288,       299.8293,       315.2884,     38340.0000,     23120.0000,         0.1042
     75,         0.6520,        -0.2002,         0.4518,         0.0000,         0.3468,       411.7083,       379.9454,       243.6322,       160.3421,       299.8263,       315.2051,     38340.0000,     23120.0000,         0.1049
     76,         0.6734,        -0.1225,         0.5509,         0.0000,         0.4459,       411.2183,       379.9446,       243.5462,       160.8544,       299.8234,       315.1219,     38340.0000,     23120.0000,         0.1051
     77,         0.2697,         0.1743,         0.4439,         0.0000,         0.3387,       410.7287,       379.9439,       243.4601,       161.3656,       299.8205,       315.0387,     38340.0000,     23120.0000,         0.1053
     78,         0.2094,         0.1967,         0.4061,         0.0000,         0.3007,       410.2397,       379.9432,       243.3741,       161.8759,       299.8175,       314.9563,     38340.0000,     23120.0000,         0.1054
     79,         0.0000,         0.6107,         0.6107,         0.0000,         0.5050,       409.7513,       379.9424,       243.2880,       162.3851,       299.8146,       314.8735,     38340.0000,     23120.0000,         0.1058
     80,         0.2415,         0.3175,         0.5591,         0.0000,         0.4531,       409.2635,       379.9417,       243.2020,       162.8933,       299.8117,       314.7911,     38340.0000,     23120.0000,         0.1060
     81,         0.0000,         0.4913,         0.4913,         0.0000,         0.3850,       408.7763,       379.9410,       243.1156,       163.4007,       299.8087,       314.7098,     38340.0000,     23120.0000,         0.1063
     82,         0.0571,         0.3048,         0.3619,         0.0000,         0.2554,       408.2897,       379.9402,       243.0292,       163.9071,       299.8058,       314.6285,     38340.0000,     23120.0000,         0.1065
     83,         0.5998,        -0.2619,         0.3379,         0.0000,         0.2311,       407.8036,       379.9395,       242.9428,       164.4125,       299.8024,       314.5475,     38340.0000,     23120.0000,         0.1067
     84,         0.3974,        -0.0332,         0.3642,         0.0000,         0.2572,       407.3180,       379.9388,       242.8564,       164.9170,       299.7987,       314.4670,     38340.0000,     23120.0000,         0.1069
     85,         0.4386,        -0.0797,         0.3588,         0.0000,         0.2517,       406.8331,       379.9380,       242.7699,       165.4206,       299.7950,       314.3864,     38340.0000,     23120.0000,         0.1071
     86,         0.6808,        -0.3168,         0.3640,         0.0000,         0.2568,       406.3488,       379.9373,       242.6835,       165.9232,       299.7914,       314.3060,     38340.0000,     23120.0000,         0.1073
     87,         0.7620,        -0.3859,         0.3761,         0.0000,         0.2687,       405.8651,       379.9366,       242.5972,       166.4249,       299.7877,       314.2256,     38340.0000,     23120.0000,         0.1074
     88,         0.9530,        -0.5658,         0.3872,         0.0000,         0.2797,       405.3819,       379.9359,       242.5110,       166.9255,       299.7841,       314.1459,     38340.0000,     23120.0000,         0.1075
     89,         0.8589,        -0.4376,         0.4213,         0.0000,         0.3137,       404.8992,       379.9351,       242.4249,       167.4251,       299.7804,       314.0663,     38340.0000,     23120.0000,         0.1076
     90,         0.3867,         0.1421,         0.5288,         0.0000,         0.4210,       404.4172,       379.9344,       242.3389,       167.9238,       299.7767,       313.9866,     38340.0000,     23120.0000,         0.1079
     91,         0.2045,         0.4162,         0.6207,         0.0000,         0.5126,       403.9358,       379.9337,       242.2528,       168.4214,       299.7731,       313.9071,     38340.0000,     23120.0000,         0.1082
     92,         1.0925,        -0.5067,         0.5858,         0.0000,         0.4776,       403.4549,       379.9329,       242.1667,       168.9180,       299.7694,       313.8282,     38340.0000,     23120.0000,         0.1083
     93,         0.0000,         0.6713,         0.6713,         0.0000,         0.5626,       402.9745,       379.9322,       242.0806,       169.4134,       299.7657,       313.7491,     38340.0000,     23120.0000,         0.1087
     94,         0.3899,         0.2036,         0.5935,         0.0000,         0.4845,       402.4948,       379.9315,       241.9942,       169.9081,       299.7621,       313.6707,     38340.0000,     23120.0000,         0.1090
     95,         0.8905,        -0.3956,         0.4949,         0.0000,         0.3853,       402.0157,       379.9307,       241.9082,       170.4012,       299.7584,       313.5916,     38340.0000,     23120.0000,         0.1096
     96,         1.0145,        -0.5020,         0.5125,         0.0000,         0.4026,       401.5371,       379.9300,       241.8220,       170.8934,       299.7548,       313.5127,     38340.0000,     23120.0000,         0.1099
     97,         0.6293,        -0.0917,         0.5376,         0.0000,         0.4273,       401.0590,       379.9293,       241.7356,       171.3845,       299.7511,       313.4344,     38340.0000,     23120.0000,         0.1103
     98,         2.7880,        -2.1186,         0.6694,         0.1137,         0.5586,       400.6383,       379.9399,       241.6948,       171.8740,       299.7474,       313.3563,     38340.0000,     23120.0000,         0.1108
     99,         2.4101,        -1.7657,         0.6444,         0.0000,         0.5087,       400.1614,       379.9392,       241.5930,       172.3547,       299.7426,       313.2703,     38340.0273,     23120.0000,         0.1358
    100,         0.0000,         0.7229,         0.7229,         0.0000,         0.5346,       399.6851,       379.9384,       241.4635,       172.8029,       299.7343,       313.1798,     38340.1211,     23120.0000,         0.1883
    101,         2.7945,        -2.0186,         0.7759,         0.0000,         0.5546,       399.2092,       379.9374,       241.3201,       173.2209,       299.7236,       313.0946,     38340.2148,     23120.0000,         0.2213
    102,         4.4430,        -3.2470,         1.1960,         0.6937,         0.9504,       399.0807,       380.0053,       241.4442,       173.6157,       299.7110,       313.0137,     38340.3086,     23120.0000,         0.2456
    103,         1.6087,        -0.6737,         0.9350,         0.0000,         0.6949,       398.6055,       380.0038,       241.2780,       174.0588,       299.7007,       312.8950,     38340.4023,     23120.0273,         0.2401
    104,         0.8564,         0.0546,         0.9110,         0.0000,         0.6783,       398.1309,       380.0024,       241.1068,       174.5312,       299.6924,       312.7552,     38340.4961,     23120.0742,         0.2326
    105,         0.0000,         0.9690,         0.9690,         0.0000,         0.7372,       397.6570,       380.0009,       240.9320,       175.0152,       299.6845,       312.6053,     38340.5898,     23120.1211,         0.2318
    106,         0.1218,         0.8546,         0.9765,         0.0000,         0.7422,       397.1836,       379.9995,       240.7543,       175.5018,       299.6767,       312.4510,     38340.6836,     23120.1680,         0.2343
    107,         0.6610,         0.2779,         0.9389,         0.0000,         0.7015,       396.7108,       379.9980,       240.5744,       175.9878,       299.6687,       312.2950,     38340.7773,     23120.2148,         0.2374
    108,         0.1595,         0.7411,         0.9007,         0.0000,         0.6628,       396.2384,       379.9965,       240.3934,       176.4754,       299.6606,       312.1362,     38340.8711,     23120.2617,         0.2378
    109,         1.1975,        -0.3824,         0.8150,         0.0000,         0.5773,       395.7667,       379.9951,       240.2117,       176.9648,       299.6529,       311.9753,     38340.9648,     23120.3086,         0.2377
    110,         1.4510,        -0.5350,         0.9159,         0.0000,         0.6762,       395.2956,       379.9936,       240.0293,       177.4514,       299.6448,       311.8153,     38341.0586,     23120.3555,         0.2397
    111,         1.5882,        -0.7083,         0.8799,         0.0000,         0.6385,       394.8250,       379.9921,       239.8461,       177.9361,       299.6367,       311.6554,     38341.1523,     23120.4023,         0.2414
    112,         0.0002,         0.9622,         0.9624,         0.0000,         0.7015,       394.3549,       379.9907,       239.6527,       178.4087,       299.6277,       311.4934,     38341.2461,     23120.4492,         0.2608
    113,         0.7473,         0.3269,         1.0743,         0.0000,         0.7702,       393.8854,       379.9892,       239.4332,       178.8806,       299.6171,       311.2980,     38341.3398,     23120.4961,         0.3040
    114,         3.3662,        -2.2093,         1.1569,         0.0435,         0.7360,       393.4383,       379.9921,       239.2286,       179.1593,       299.5959,       311.1736,     38341.4336,     23120.5430,         0.4210
    115,         4.8625,        -3.0363,         1.8262,         1.0334,         1.3063,       393.4863,       380.0940,       239.4202,       179.3074,       299.5675,       311.0639,     38341.5508,     23120.5898,         0.5199
    116,         0.3415,         0.9188,         1.2603,         0.0000,         0.7716,       393.0178,       380.0925,       239.1983,       179.5746,       299.5457,       310.8468,     38341.6875,     23120.6367,         0.4887
    117,         0.0000,         1.2446,         1.2446,         0.0000,         0.8389,       392.5499,       380.0910,       238.9763,       179.9834,       299.5317,       310.5740,     38341.7852,     23120.6836,         0.4056
    118,         2.0056,        -0.7633,         1.2423,         0.0000,         0.7722,       392.0826,       380.0896,       238.7548,       180.2574,       299.5104,       310.3756,     38341.9023,     23120.7305,         0.4701
    119,         5.2206,        -3.3349,         1.8856,         1.1115,         1.3453,       392.1713,       380.1992,       238.9781,       180.4096,       299.4826,       310.2255,     38342.0352,     23120.7773,         0.5403
    120,         0.1881,         1.1693,         1.3574,         0.0000,         0.8334,       391.7044,       380.1978,       238.7565,       180.6590,       299.4601,       309.9727,     38342.2227,     23120.8242,         0.5241
    121,         0.0001,         1.4154,         1.4155,         0.0000,         0.9989,       391.2381,       380.1963,       238.5351,       181.0819,       299.4471,       309.6613,     38342.3633,     23120.8711,         0.4166
    122,         1.0834,         0.1874,         1.2708,         0.0000,         0.8526,       390.7722,       380.1949,       238.3139,       181.4511,       299.4313,       309.4170,     38342.4570,     23120.9180,         0.4181
    123,         3.4390,        -2.0957,         1.3433,         0.0000,         0.8459,       390.3071,       380.1934,       238.0931,       181.6806,       299.4081,       309.2297,     38342.5859,     23120.9648,         0.4974
    124,         3.8770,        -2.1746,         1.7023,         0.5486,         1.1614,       390.1165,       380.2468,       238.0921,       181.8578,       299.3820,       309.0415,     38342.7383,     23121.0117,         0.5409
    125,         0.6524,         0.8199,         1.4723,         0.0000,         0.9303,       389.6522,       380.2453,       237.8714,       182.0885,       299.3588,       308.7808,     38342.9258,     23121.0586,         0.5420
    126,         4.7447,        -2.6068,         2.1379,         1.1105,         1.5297,       389.7434,       380.3549,       238.0952,       182.1801,       299.3282,       308.5974,     38343.1133,     23121.1055,         0.6082
    127,         4.2882,        -1.9806,         2.3075,         1.3200,         1.6296,       389.9391,       380.4855,       238.4026,       182.2059,       299.2940,       308.3904,     38343.3008,     23121.1523,         0.6780
    128,         4.1897,        -1.8077,         2.3821,         1.3629,         1.6765,       390.1561,       380.6203,       238.7268,       182.2169,       299.2590,       308.1596,     38343.4883,     23121.1992,         0.7055
    129,         0.1894,         1.5064,         1.6958,         0.0000,         1.0028,       389.6917,       380.6188,       238.5056,       182.2934,       299.2275,       307.8628,     38343.6758,     23121.2461,         0.6930
    130,         3.9481,        -1.3996,         2.5486,         1.5747,         1.7855,       390.0148,       380.7748,       238.9143,       182.2470,       299.1895,       307.6166,     38343.8633,     23121.3047,         0.7630
    131,         6.7813,        -3.7611,         3.0203,         2.1729,         2.1145,       390.6366,       380.9907,       239.5620,       181.9745,       299.1390,       307.4431,     38344.0742,     23121.3809,         0.9058
    132,         1.2842,         0.5162,         1.8004,         0.0000,         1.0659,       390.1715,       380.9892,       239.3401,       182.0702,       299.1084,       307.0576,     38344.2695,     23121.4746,         0.7345
    133,         0.0000,         1.7014,         1.7014,         0.0000,         1.0649,       389.7071,       380.9878,       239.1182,       182.2953,       299.0850,       306.6557,     38344.4570,     23121.5254,         0.6365
    134,         1.5274,         0.1757,         1.7031,         0.0011,         1.0496,       389.2437,       380.9864,       238.8970,       182.4506,       299.0578,       306.3179,     38344.6445,     23121.5723,         0.6535
    135,         4.6163,        -2.1777,         2.4386,         1.1355,         1.7272,       389.3478,       381.0985,       239.1299,       182.5025,       299.0251,       306.0236,     38344.8320,     23121.6309,         0.7115
    136,         6.0500,        -3.2120,         2.8379,         1.8758,         2.0829,       389.8217,       381.2845,       239.6588,       182.4694,       298.9878,       305.7727,     38345.0195,     23121.6953,         0.7550
    137,         5.9502,        -2.9101,         3.0402,         2.0395,         2.2667,       390.3769,       381.4871,       240.2557,       182.4213,       298.9498,       305.5099,     38345.2070,     23121.7617,         0.7735
    138,         6.0844,        -2.9429,         3.1416,         2.2335,         2.3526,       391.0284,       381.7090,       240.9350,       182.3274,       298.9095,       305.2775,     38345.3945,     23121.8281,         0.7889
    139,         7.5303,        -4.0026,         3.5277,         2.7424,         2.6081,       391.9334,       381.9818,       241.8230,       182.0397,       298.8590,       305.0883,     38345.6211,     23121.9102,         0.9196
    140,         7.4873,        -3.3294,         4.1579,         3.8340,         3.2015,       393.3831,       382.3637,       243.1519,       181.7195,       298.8067,       304.8791,     38345.8555,     23122.0039,         0.9564
    141,         0.6312,         1.6284,         2.2595,         0.1643,         1.3375,       392.9968,       382.3787,       243.0040,       181.5744,       298.7634,       304.5069,     38346.1367,     23122.0977,         0.9220
    142,         5.9446,        -2.6715,         3.2731,         1.9755,         2.2556,       393.5162,       382.5748,       243.5687,       181.2962,       298.7122,       304.1738,     38346.4180,     23122.1914,         1.0174
    143,         2.4835,         0.1328,         2.6163,         0.7194,         1.6499,       393.4072,       382.6453,       243.6306,       181.1516,       298.6681,       303.7469,     38346.6992,     23122.2852,         0.9664
    144,         1.0763,         1.0311,         2.1074,         0.0000,         1.2942,       392.9388,       382.6438,       243.4047,       181.2374,       298.6365,       303.2593,     38346.9805,     23122.3789,         0.8132
    145,         5.1936,        -2.2368,         2.9568,         1.3796,         2.1157,       393.1604,       382.7803,       243.7308,       181.2024,       298.5984,       302.8862,     38347.2266,     23122.4727,         0.8411
    146,         4.4310,        -1.8833,         2.5478,         0.6864,         1.7273,       393.0356,       382.8475,       243.7797,       181.2075,       298.5624,       302.4931,     38347.4766,     23122.5664,         0.8204
    147,         2.3333,        -0.1401,         2.1932,         0.0983,         1.4447,       392.6167,       382.8558,       243.5938,       181.3245,       298.5327,       302.0660,     38347.7031,     23122.6602,         0.7485
    148,         3.6845,        -1.1828,         2.5017,         0.5047,         1.6652,       392.4017,       382.9048,       243.5700,       181.2848,       298.4944,       301.7057,     38347.9414,     23122.7539,         0.8365
    149,         5.6757,        -2.2364,         3.4393,         2.1492,         2.5224,       393.0088,       383.1183,       244.2038,       181.1149,       298.4490,       301.3899,     38348.1914,     23122.8477,         0.9169
    150,         0.4901,         2.2874,         2.7775,         0.8665,         1.8618,       392.9740,       383.2035,       244.3240,       181.0072,       298.4068,       300.9955,     38348.4727,     23122.9414,         0.9157
    151,         5.0828,        -1.6419,         3.4408,         1.9482,         2.3811,       393.4796,       383.3969,       244.8765,       180.6908,       298.3533,       300.6487,     38348.7539,     23123.0352,         1.0597
    152,         3.3235,        -0.4745,         2.8490,         1.0579,         1.9501,       393.5398,       383.5012,       245.0726,       180.6488,       298.3147,       300.1958,     38349.0352,     23123.1289,         0.8989
    153,         5.9193,        -2.3534,         3.5660,         2.2643,         2.6619,       394.2029,       383.7261,       245.7511,       180.5525,       298.2731,       299.8069,     38349.3164,     23123.2227,         0.9041
    154,         8.8984,        -4.3961,         4.5022,         3.6731,         3.2940,       395.5693,       384.0919,       246.9922,       179.9713,       298.2049,       299.5776,     38349.5977,     23123.3164,         1.2082
    155,         6.9964,        -2.7749,         4.2215,         3.1484,         3.0747,       396.6719,       384.4053,       248.0225,       179.5882,       298.1471,       299.1886,     38349.8789,     23123.4102,         1.1468
