 day,simuCH4_d,pro_sum_d,oxi_sum_d,fdifu1_d,ebu_sum_d,pla_sum_d,CH4V1,CH4V2,CH4V3,CH4V4,CH4V5,    CH4V6,CH4V7,CH4V8,CH4V9,CH4V10
    622,         0.0013,         0.0152,         0.0216,        -0.0000,         0.0000,         0.0013,         0.0000,         0.0154,        11.6777,        11.4731,        10.6559,         8.8910,         8.0342,         7.6912,         7.5555,         7.5074
    623,         0.0012,         0.0117,         0.0306,        -0.0000,         0.0000,         0.0012,         0.0000,         0.0154,        11.4515,        11.4546,        10.6548,         8.8980,         8.0382,         7.6928,         7.5562,         7.5078
    624,         0.0012,         0.0111,         0.0468,        -0.0000,         0.0000,         0.0012,         0.0000,         0.0150,        10.9371,        11.4259,        10.6534,         8.9050,         8.0422,         7.6944,         7.5569,         7.5081
    625,         0.0012,         0.0103,         0.0623,        -0.0000,         0.0000,         0.0012,         0.0000,         0.0142,        10.1466,        11.3792,        10.6510,         8.9118,         8.0461,         7.6961,         7.5575,         7.5085
    626,         0.0011,         0.0080,         0.0675,        -0.0000,         0.0000,         0.0011,         0.0000,         0.0130,         9.1124,        11.3018,        10.6447,         8.9183,         8.0501,         7.6977,         7.5582,         7.5089
    627,         0.0011,         0.0072,         0.0585,        -0.0000,         0.0000,         0.0011,         0.0000,         0.0119,         8.2206,        11.1958,        10.6351,         8.9247,         8.0540,         7.6993,         7.5589,         7.5093
    628,         0.0011,         0.0080,         0.0623,        -0.0000,         0.0000,         0.0011,         0.0000,         0.0107,         7.3208,        11.0715,        10.6232,         8.9311,         8.0580,         7.7010,         7.5596,         7.5096
    629,         0.0010,         0.0086,         0.0520,        -0.0000,         0.0000,         0.0010,         0.0000,         0.0096,         6.5387,        10.9261,        10.6066,         8.9370,         8.0619,         7.7026,         7.5603,         7.5100
    630,         0.0010,         0.0088,         0.0261,        -0.0000,         0.0000,         0.0010,         0.0000,         0.0086,         6.1154,        10.7717,        10.5870,         8.9428,         8.0658,         7.7043,         7.5610,         7.5104
    631,         0.0010,         0.0101,         0.0115,        -0.0000,         0.0000,         0.0010,         0.0000,         0.0081,         6.1183,        10.6213,        10.5640,         8.9485,         8.0697,         7.7060,         7.5618,         7.5108
    632,         0.0010,         0.0086,         0.0111,        -0.0000,         0.0000,         0.0010,         0.0000,         0.0082,         6.2002,        10.4823,        10.5382,         8.9539,         8.0737,         7.7076,         7.5625,         7.5112
    633,         0.0010,         0.0101,         0.0177,        -0.0000,         0.0000,         0.0010,         0.0000,         0.0084,         6.2534,        10.3586,        10.5119,         8.9594,         8.0777,         7.7093,         7.5632,         7.5116
    634,         0.0009,         0.0073,         0.0288,        -0.0000,         0.0000,         0.0009,         0.0000,         0.0083,         6.0885,        10.2379,        10.4822,         8.9644,         8.0816,         7.7111,         7.5639,         7.5120
    635,         0.0009,         0.0066,         0.0363,        -0.0000,         0.0000,         0.0009,         0.0000,         0.0079,         5.7432,        10.1120,        10.4490,         8.9691,         8.0855,         7.7128,         7.5647,         7.5124
    636,         0.0009,         0.0064,         0.0444,        -0.0000,         0.0000,         0.0009,         0.0000,         0.0073,         5.2619,         9.9820,        10.4142,         8.9735,         8.0895,         7.7145,         7.5654,         7.5128
    637,         0.0008,         0.0068,         0.0531,        -0.0000,         0.0000,         0.0008,         0.0000,         0.0066,         4.6419,         9.8435,        10.3775,         8.9777,         8.0934,         7.7163,         7.5662,         7.5132
    638,         0.0008,         0.0066,         0.0640,        -0.0000,         0.0000,         0.0008,         0.0000,         0.0056,         3.8719,         9.6943,        10.3395,         8.9816,         8.0973,         7.7180,         7.5669,         7.5136
    639,         0.0007,         0.0057,         0.0759,        -0.0000,         0.0000,         0.0007,         0.0000,         0.0043,         2.9005,         9.5269,        10.2987,         8.9852,         8.1012,         7.7198,         7.5677,         7.5140
    640,         0.0006,         0.0050,         0.0864,        -0.0000,         0.0000,         0.0006,         0.0000,         0.0026,         1.7384,         9.3335,        10.2532,         8.9884,         8.1051,         7.7215,         7.5684,         7.5144
    641,         0.0005,         0.0035,         0.0800,        -0.0000,         0.0000,         0.0005,         0.0000,         0.0007,         0.4808,         9.1107,        10.2026,         8.9911,         8.1089,         7.7233,         7.5692,         7.5149
    642,         0.0005,         0.0031,         0.0180,        -0.0000,         0.0000,         0.0005,         0.0000,         0.0000,         0.0115,         8.8728,        10.1478,         8.9935,         8.1127,         7.7251,         7.5700,         7.5153
    643,         0.0005,         0.0025,         0.0170,        -0.0000,         0.0000,         0.0005,         0.0000,         0.0000,         0.0112,         8.6400,        10.0864,         8.9951,         8.1165,         7.7269,         7.5707,         7.5157
    644,         0.0005,         0.0037,         0.0153,        -0.0000,         0.0000,         0.0005,         0.0000,         0.0000,         0.0226,         8.4141,        10.0185,         8.9962,         8.1201,         7.7287,         7.5715,         7.5161
    645,         0.0005,         0.0054,         0.0172,        -0.0000,         0.0000,         0.0005,         0.0000,         0.0001,         0.0804,         8.2042,         9.9485,         8.9969,         8.1238,         7.7305,         7.5723,         7.5166
    646,         0.0004,         0.0052,         0.0196,        -0.0000,         0.0000,         0.0004,         0.0000,         0.0001,         0.0851,         8.0089,         9.8771,         8.9971,         8.1274,         7.7323,         7.5731,         7.5170
    647,         0.0004,         0.0060,         0.0119,        -0.0000,         0.0000,         0.0004,         0.0000,         0.0001,         0.0926,         7.8235,         9.8033,         8.9968,         8.1310,         7.7341,         7.5739,         7.5174
    648,         0.0004,         0.0075,         0.0013,        -0.0000,         0.0000,         0.0004,         0.0000,         0.0005,         0.3742,         7.6497,         9.7263,         8.9958,         8.1345,         7.7359,         7.5747,         7.5179
    649,         0.0004,         0.0079,         0.0024,        -0.0000,         0.0000,         0.0004,         0.0000,         0.0009,         0.6870,         7.4949,         9.6486,         8.9944,         8.1380,         7.7377,         7.5755,         7.5183
    650,         0.0004,         0.0087,         0.0038,        -0.0000,         0.0000,         0.0004,         0.0000,         0.0013,         0.9782,         7.3571,         9.5704,         8.9924,         8.1415,         7.7395,         7.5763,         7.5187
    651,         0.0004,         0.0083,         0.0041,        -0.0000,         0.0000,         0.0004,         0.0000,         0.0016,         1.2388,         7.2345,         9.4923,         8.9900,         8.1449,         7.7414,         7.5771,         7.5192
    652,         0.0004,         0.0094,         0.0045,        -0.0000,         0.0000,         0.0004,         0.0000,         0.0019,         1.4970,         7.1263,         9.4149,         8.9871,         8.1483,         7.7432,         7.5779,         7.5196
    653,         0.0004,         0.0089,         0.0046,        -0.0000,         0.0000,         0.0004,         0.0000,         0.0022,         1.7351,         7.0286,         9.3372,         8.9836,         8.1516,         7.7451,         7.5788,         7.5201
    654,         0.0005,         0.0088,         0.0046,        -0.0000,         0.0000,         0.0005,         0.0000,         0.0025,         1.9584,         6.9427,         9.2610,         8.9797,         8.1548,         7.7469,         7.5796,         7.5205
    655,         0.0005,         0.0112,         0.0046,        -0.0000,         0.0000,         0.0005,         0.0000,         0.0029,         2.2013,         6.8693,         9.1867,         8.9753,         8.1580,         7.7488,         7.5804,         7.5210
    656,         0.0005,         0.0095,         0.0047,        -0.0000,         0.0000,         0.0005,         0.0000,         0.0032,         2.4309,         6.8033,         9.1125,         8.9703,         8.1610,         7.7506,         7.5813,         7.5215
    657,         0.0005,         0.0125,         0.0077,        -0.0000,         0.0000,         0.0005,         0.0000,         0.0035,         2.6356,         6.7424,         9.0381,         8.9647,         8.1640,         7.7525,         7.5821,         7.5219
    658,         0.0005,         0.0173,         0.0118,        -0.0000,         0.0000,         0.0005,         0.0000,         0.0071,         2.8425,         6.6909,         8.9660,         8.9587,         8.1669,         7.7543,         7.5830,         7.5224
    659,         0.0005,         0.0150,         0.0113,        -0.0000,         0.0000,         0.0005,         0.0000,         0.0074,         3.0200,         6.6475,         8.8967,         8.9524,         8.1698,         7.7562,         7.5838,         7.5228
    660,         0.0005,         0.0174,         0.0124,        -0.0000,         0.0000,         0.0005,         0.0000,         0.0076,         3.1937,         6.6104,         8.8295,         8.9458,         8.1726,         7.7580,         7.5847,         7.5233
    661,         0.0005,         0.0178,         0.0127,        -0.0000,         0.0000,         0.0005,         0.0000,         0.0069,         3.3760,         6.5795,         8.7642,         8.9387,         8.1753,         7.7599,         7.5856,         7.5238
    662,         0.0006,         0.0222,         0.0120,        -0.0000,         0.0000,         0.0006,         0.0001,         0.0367,         3.5471,         6.5531,         8.7004,         8.9312,         8.1779,         7.7617,         7.5864,         7.5243
    663,         0.0006,         0.0265,         0.0146,        -0.0000,         0.0000,         0.0006,         0.0003,         0.1604,         3.7253,         6.5311,         8.6383,         8.9232,         8.1804,         7.7636,         7.5873,         7.5247
    664,         0.0007,         0.0210,         0.0088,        -0.0000,         0.0000,         0.0007,         0.0005,         0.2612,         3.8674,         6.5134,         8.5785,         8.9150,         8.1829,         7.7654,         7.5882,         7.5252
    665,         0.0008,         0.0210,         0.0016,        -0.0000,         0.0000,         0.0008,         0.0010,         0.5323,         3.9815,         6.4990,         8.5214,         8.9067,         8.1852,         7.7673,         7.5891,         7.5257
    666,         0.0009,         0.0194,         0.0022,        -0.0000,         0.0000,         0.0009,         0.0016,         0.8139,         4.0855,         6.4872,         8.4665,         8.8982,         8.1876,         7.7691,         7.5899,         7.5262
    667,         0.0010,         0.0179,         0.0026,        -0.0000,         0.0000,         0.0010,         0.0021,         1.0635,         4.1800,         6.4766,         8.4131,         8.8893,         8.1898,         7.7709,         7.5908,         7.5267
    668,         0.0011,         0.0218,         0.0044,        -0.0000,         0.0000,         0.0011,         0.0024,         1.3037,         4.2785,         6.4678,         8.3617,         8.8801,         8.1919,         7.7728,         7.5917,         7.5272
    669,         0.0012,         0.0222,         0.0059,         0.0000,         0.0000,         0.0012,         0.0027,         1.5445,         4.3872,         6.4622,         8.3126,         8.8707,         8.1939,         7.7746,         7.5926,         7.5277
    670,         0.0014,         0.0205,         0.0055,         0.0002,         0.0000,         0.0012,         0.0031,         1.7572,         4.4861,         6.4589,         8.2658,         8.8612,         8.1959,         7.7764,         7.5935,         7.5282
    671,         0.0012,         0.0213,         0.0059,        -0.0000,         0.0000,         0.0012,         0.0036,         1.9710,         4.5930,         6.4572,         8.2206,         8.8514,         8.1978,         7.7783,         7.5944,         7.5287
    672,         0.0013,         0.0192,         0.0058,         0.0000,         0.0000,         0.0013,         0.0039,         2.1586,         4.6894,         6.4568,         8.1770,         8.8414,         8.1995,         7.7801,         7.5953,         7.5292
    673,         0.0013,         0.0190,         0.0059,         0.0000,         0.0000,         0.0013,         0.0043,         2.3320,         4.7821,         6.4577,         8.1352,         8.8313,         8.2012,         7.7819,         7.5963,         7.5297
    674,         0.0016,         0.0167,         0.0056,         0.0003,         0.0000,         0.0013,         0.0046,         2.4845,         4.8659,         6.4597,         8.0951,         8.8210,         8.2028,         7.7837,         7.5972,         7.5302
    675,         0.0016,         0.0175,         0.0057,         0.0003,         0.0000,         0.0013,         0.0049,         2.6240,         4.9451,         6.4630,         8.0568,         8.8106,         8.2043,         7.7854,         7.5981,         7.5307
    676,         0.0033,         0.0242,         0.0080,         0.0020,         0.0000,         0.0013,         0.0046,         2.7813,         5.0399,         6.4675,         8.0200,         8.7999,         8.2056,         7.7872,         7.5990,         7.5313
    677,         0.0042,         0.0269,         0.0089,         0.0029,         0.0000,         0.0013,         0.0047,         2.9524,         5.1475,         6.4745,         7.9852,         8.7892,         8.2069,         7.7890,         7.6000,         7.5318
    678,         0.0042,         0.0290,         0.0097,         0.0028,         0.0000,         0.0014,         0.0050,         3.1286,         5.2626,         6.4843,         7.9525,         8.7784,         8.2081,         7.7907,         7.6009,         7.5323
    679,         0.0041,         0.0263,         0.0094,         0.0027,         0.0000,         0.0015,         0.0053,         3.2977,         5.3770,         6.4961,         7.9214,         8.7676,         8.2092,         7.7925,         7.6018,         7.5328
    680,         0.0224,         0.0418,         0.0042,         0.0209,         0.0000,         0.0015,         0.0049,         3.4521,         5.4854,         6.5095,         7.8921,         8.7567,         8.2103,         7.7942,         7.6028,         7.5334
    681,         0.0350,         0.0501,         0.0000,         0.0335,         0.0000,         0.0015,         0.0046,         3.6415,         5.6195,         6.5255,         7.8643,         8.7457,         8.2112,         7.7959,         7.6037,         7.5339
    682,         0.0288,         0.0382,         0.0000,         0.0273,         0.0000,         0.0015,         0.0048,         3.7710,         5.7170,         6.5432,         7.8385,         8.7349,         8.2121,         7.7977,         7.6046,         7.5344
    683,         0.0291,         0.0387,         0.0000,         0.0277,         0.0000,         0.0014,         0.0049,         3.8770,         5.8005,         6.5615,         7.8143,         8.7240,         8.2129,         7.7994,         7.6056,         7.5350
    684,         0.0313,         0.0424,         0.0000,         0.0299,         0.0000,         0.0014,         0.0051,         3.9926,         5.8912,         6.5806,         7.7914,         8.7131,         8.2136,         7.8010,         7.6065,         7.5355
    685,         0.0305,         0.0405,         0.0000,         0.0291,         0.0000,         0.0014,         0.0052,         4.1095,         5.9840,         6.6011,         7.7701,         8.7022,         8.2143,         7.8027,         7.6075,         7.5361
    686,         0.0272,         0.0354,         0.0000,         0.0259,         0.0000,         0.0013,         0.0054,         4.2020,         6.0617,         6.6221,         7.7503,         8.6914,         8.2148,         7.8044,         7.6084,         7.5366
    687,         0.0344,         0.0473,         0.0000,         0.0331,         0.0000,         0.0013,         0.0055,         4.3148,         6.1534,         6.6444,         7.7321,         8.6805,         8.2153,         7.8060,         7.6094,         7.5372
    688,         0.0391,         0.0555,         0.0000,         0.0379,         0.0000,         0.0012,         0.0057,         4.4735,         6.2761,         6.6689,         7.7153,         8.6696,         8.2157,         7.8076,         7.6104,         7.5377
    689,         0.0388,         0.0545,         0.0000,         0.0376,         0.0000,         0.0012,         0.0059,         4.6331,         6.4020,         6.6956,         7.7001,         8.6588,         8.2160,         7.8093,         7.6113,         7.5383
    690,         0.0340,         0.0452,         0.0000,         0.0328,         0.0000,         0.0012,         0.0061,         4.7647,         6.5118,         6.7232,         7.6860,         8.6480,         8.2162,         7.8109,         7.6123,         7.5389
    691,         0.0359,         0.0483,         0.0000,         0.0346,         0.0000,         0.0012,         0.0062,         4.8736,         6.6074,         6.7516,         7.6733,         8.6374,         8.2164,         7.8124,         7.6132,         7.5394
    692,         0.0339,         0.0444,         0.0000,         0.0327,         0.0000,         0.0012,         0.0063,         4.9858,         6.7061,         6.7806,         7.6616,         8.6267,         8.2165,         7.8140,         7.6142,         7.5400
    693,         0.0279,         0.0337,         0.0000,         0.0267,         0.0000,         0.0011,         0.0064,         5.0552,         6.7772,         6.8092,         7.6509,         8.6162,         8.2165,         7.8156,         7.6152,         7.5406
    694,         0.0099,         0.0131,         0.0000,         0.0088,         0.0000,         0.0011,         0.0065,         5.0826,         6.8196,         6.8368,         7.6413,         8.6057,         8.2165,         7.8171,         7.6162,         7.5412
    695,         0.0099,         0.0139,         0.0000,         0.0088,         0.0000,         0.0011,         0.0065,         5.1089,         6.8605,         6.8634,         7.6327,         8.5954,         8.2164,         7.8186,         7.6171,         7.5417
    696,         0.0099,         0.0121,         0.0000,         0.0088,         0.0000,         0.0010,         0.0065,         5.1239,         6.8925,         6.8891,         7.6250,         8.5851,         8.2162,         7.8201,         7.6181,         7.5423
    697,         0.0098,         0.0136,         0.0000,         0.0089,         0.0000,         0.0010,         0.0066,         5.1440,         6.9270,         6.9145,         7.6186,         8.5750,         8.2160,         7.8216,         7.6191,         7.5429
    698,         0.0098,         0.0131,         0.0000,         0.0089,         0.0000,         0.0009,         0.0066,         5.1659,         6.9615,         6.9390,         7.6128,         8.5649,         8.2157,         7.8231,         7.6200,         7.5435
    699,         0.0098,         0.0131,         0.0000,         0.0090,         0.0000,         0.0009,         0.0067,         5.1887,         6.9958,         6.9629,         7.6079,         8.5549,         8.2153,         7.8245,         7.6210,         7.5441
    700,         0.0092,         0.0139,         0.0006,         0.0084,         0.0000,         0.0008,         0.0067,         5.2111,         7.0292,         6.9866,         7.6039,         8.5451,         8.2149,         7.8260,         7.6220,         7.5447
    701,         0.0092,         0.0159,         0.0007,         0.0084,         0.0000,         0.0008,         0.0068,         5.2486,         7.0723,         7.0090,         7.6002,         8.5352,         8.2144,         7.8274,         7.6230,         7.5453
    702,         0.0100,         0.0171,         0.0000,         0.0091,         0.0000,         0.0008,         0.0068,         5.2984,         7.1231,         7.0313,         7.5969,         8.5254,         8.2138,         7.8288,         7.6239,         7.5459
    703,         0.0330,         0.0438,         0.0000,         0.0322,         0.0000,         0.0008,         0.0069,         5.3782,         7.1937,         7.0550,         7.5948,         8.5157,         8.2132,         7.8301,         7.6249,         7.5465
    704,         0.0146,         0.0183,         0.0000,         0.0139,         0.0000,         0.0007,         0.0069,         5.4403,         7.2521,         7.0802,         7.5939,         8.5063,         8.2125,         7.8315,         7.6259,         7.5471
    705,         0.0100,         0.0135,         0.0000,         0.0094,         0.0000,         0.0006,         0.0070,         5.4589,         7.2818,         7.1053,         7.5940,         8.4972,         8.2118,         7.8329,         7.6269,         7.5477
    706,         0.0100,         0.0154,         0.0000,         0.0095,         0.0000,         0.0006,         0.0070,         5.4989,         7.3251,         7.1300,         7.5946,         8.4882,         8.2111,         7.8342,         7.6279,         7.5483
    707,         0.0100,         0.0114,         0.0000,         0.0095,         0.0000,         0.0004,         0.0071,         5.5234,         7.3607,         7.1539,         7.5955,         8.4792,         8.2103,         7.8355,         7.6288,         7.5489
    708,         0.0098,         0.0054,         0.0000,         0.0094,         0.0000,         0.0004,         0.0070,         5.4457,         7.3856,         7.1777,         7.5972,         8.4705,         8.2095,         7.8368,         7.6298,         7.5495
    709,         0.0095,         0.0053,         0.0000,         0.0092,         0.0000,         0.0003,         0.0068,         5.3359,         7.4106,         7.2005,         7.5992,         8.4618,         8.2086,         7.8380,         7.6308,         7.5501
    710,         0.0094,         0.0043,         0.0000,         0.0090,         0.0000,         0.0003,         0.0067,         5.2348,         7.4186,         7.2224,         7.6016,         8.4533,         8.2077,         7.8393,         7.6318,         7.5508
    711,         0.0092,         0.0044,         0.0000,         0.0089,         0.0000,         0.0003,         0.0066,         5.1415,         7.4187,         7.2433,         7.6046,         8.4451,         8.2068,         7.8405,         7.6327,         7.5514
    712,         0.0090,         0.0044,         0.0000,         0.0087,         0.0000,         0.0003,         0.0065,         5.0537,         7.4159,         7.2631,         7.6080,         8.4370,         8.2058,         7.8417,         7.6337,         7.5520
    713,         0.0088,         0.0044,         0.0000,         0.0086,         0.0000,         0.0003,         0.0064,         4.9698,         7.4137,         7.2813,         7.6114,         8.4289,         8.2048,         7.8429,         7.6347,         7.5526
    714,         0.0084,         0.0043,         0.0003,         0.0082,         0.0000,         0.0003,         0.0063,         4.8914,         7.4040,         7.2982,         7.6151,         8.4211,         8.2037,         7.8441,         7.6356,         7.5533
    715,         0.0080,         0.0051,         0.0006,         0.0077,         0.0000,         0.0003,         0.0062,         4.8144,         7.4017,         7.3133,         7.6185,         8.4132,         8.2026,         7.8452,         7.6366,         7.5539
    716,         0.0084,         0.0047,         0.0000,         0.0082,         0.0000,         0.0003,         0.0061,         4.7403,         7.3988,         7.3267,         7.6216,         8.4054,         8.2014,         7.8464,         7.6376,         7.5546
    717,         0.0083,         0.0047,         0.0000,         0.0081,         0.0000,         0.0002,         0.0060,         4.6735,         7.3919,         7.3402,         7.6254,         8.3978,         8.2002,         7.8475,         7.6385,         7.5552
    718,         0.0082,         0.0045,         0.0000,         0.0080,         0.0000,         0.0002,         0.0059,         4.6088,         7.3797,         7.3517,         7.6289,         8.3902,         8.1990,         7.8486,         7.6395,         7.5558
    719,         0.0081,         0.0046,         0.0000,         0.0079,         0.0000,         0.0002,         0.0058,         4.5483,         7.3671,         7.3625,         7.6324,         8.3828,         8.1977,         7.8497,         7.6405,         7.5565
    720,         0.0080,         0.0044,         0.0000,         0.0078,         0.0000,         0.0002,         0.0057,         4.4918,         7.3541,         7.3726,         7.6362,         8.3755,         8.1964,         7.8507,         7.6414,         7.5571
    721,         0.0079,         0.0038,         0.0000,         0.0077,         0.0000,         0.0002,         0.0057,         4.4389,         7.3333,         7.3817,         7.6400,         8.3684,         8.1951,         7.8518,         7.6424,         7.5578
    722,         0.0078,         0.0035,         0.0000,         0.0076,         0.0000,         0.0002,         0.0056,         4.3887,         7.3046,         7.3893,         7.6437,         8.3615,         8.1937,         7.8528,         7.6434,         7.5584
    723,         0.0077,         0.0034,         0.0000,         0.0075,         0.0000,         0.0002,         0.0055,         4.3414,         7.2746,         7.3958,         7.6474,         8.3547,         8.1924,         7.8538,         7.6443,         7.5591
    724,         0.0077,         0.0030,         0.0000,         0.0074,         0.0000,         0.0002,         0.0055,         4.3012,         7.2412,         7.4009,         7.6510,         8.3480,         8.1910,         7.8548,         7.6453,         7.5597
    725,         0.0076,         0.0026,         0.0000,         0.0074,         0.0000,         0.0002,         0.0055,         4.2632,         7.2017,         7.4043,         7.6543,         8.3414,         8.1896,         7.8557,         7.6462,         7.5604
    726,         0.0075,         0.0023,         0.0000,         0.0073,         0.0000,         0.0002,         0.0054,         4.2260,         7.1572,         7.4061,         7.6573,         8.3350,         8.1882,         7.8567,         7.6472,         7.5611
    727,         0.0075,         0.0013,         0.0000,         0.0072,         0.0000,         0.0002,         0.0054,         4.1895,         7.1073,         7.4063,         7.6601,         8.3286,         8.1868,         7.8576,         7.6481,         7.5617
    728,         0.0074,         0.0001,         0.0000,         0.0072,         0.0000,         0.0002,         0.0053,         4.1530,         7.0328,         7.4047,         7.6627,         8.3224,         8.1853,         7.8585,         7.6491,         7.5624
    729,         0.0073,         0.0001,         0.0001,         0.0070,         0.0000,         0.0002,         0.0053,         4.1161,         6.9561,         7.4009,         7.6650,         8.3163,         8.1838,         7.8594,         7.6500,         7.5631
    730,         0.0069,         0.0001,         0.0004,         0.0067,         0.0000,         0.0002,         0.0052,         4.0796,         6.8832,         7.3955,         7.6670,         8.3103,         8.1823,         7.8603,         7.6510,         7.5637
    731,         0.0066,         0.0001,         0.0006,         0.0063,         0.0000,         0.0002,         0.0052,         4.0430,         6.8132,         7.3882,         7.6687,         8.3044,         8.1808,         7.8612,         7.6519,         7.5644
    732,         0.0064,         0.0001,         0.0008,         0.0062,         0.0000,         0.0002,         0.0052,         4.0065,         6.7462,         7.3794,         7.6699,         8.2985,         8.1793,         7.8620,         7.6528,         7.5651
    733,         0.0062,         0.0001,         0.0009,         0.0060,         0.0000,         0.0002,         0.0051,         3.9702,         6.6819,         7.3691,         7.6708,         8.2928,         8.1778,         7.8628,         7.6538,         7.5658
    734,         0.0060,         0.0001,         0.0010,         0.0058,         0.0000,         0.0002,         0.0051,         3.9342,         6.6201,         7.3575,         7.6711,         8.2872,         8.1762,         7.8636,         7.6547,         7.5664
    735,         0.0058,         0.0001,         0.0011,         0.0056,         0.0000,         0.0002,         0.0050,         3.8990,         6.5608,         7.3450,         7.6711,         8.2816,         8.1747,         7.8644,         7.6556,         7.5671
    736,         0.0056,         0.0001,         0.0012,         0.0054,         0.0000,         0.0002,         0.0050,         3.8641,         6.5035,         7.3315,         7.6706,         8.2761,         8.1731,         7.8652,         7.6565,         7.5678
    737,         0.0055,         0.0001,         0.0013,         0.0053,         0.0000,         0.0002,         0.0050,         3.8290,         6.4479,         7.3168,         7.6695,         8.2707,         8.1715,         7.8660,         7.6575,         7.5685
    738,         0.0055,         0.0001,         0.0013,         0.0053,         0.0000,         0.0002,         0.0049,         3.7956,         6.3950,         7.3019,         7.6682,         8.2654,         8.1699,         7.8667,         7.6584,         7.5692
    739,         0.0056,         0.0001,         0.0011,         0.0054,         0.0000,         0.0002,         0.0048,         3.7623,         6.3433,         7.2861,         7.6663,         8.2601,         8.1683,         7.8674,         7.6593,         7.5699
    740,         0.0055,         0.0001,         0.0012,         0.0053,         0.0000,         0.0002,         0.0048,         3.7290,         6.2930,         7.2695,         7.6638,         8.2548,         8.1667,         7.8681,         7.6602,         7.5705
    741,         0.0060,         0.0001,         0.0006,         0.0058,         0.0000,         0.0002,         0.0047,         3.6980,         6.2452,         7.2529,         7.6612,         8.2497,         8.1651,         7.8688,         7.6611,         7.5712
    742,         0.0065,         0.0001,         0.0000,         0.0063,         0.0000,         0.0002,         0.0047,         3.6670,         6.1981,         7.2355,         7.6579,         8.2445,         8.1635,         7.8695,         7.6620,         7.5719
    743,         0.0065,         0.0001,         0.0000,         0.0063,         0.0000,         0.0002,         0.0046,         3.6330,         6.1508,         7.2166,         7.6536,         8.2393,         8.1618,         7.8701,         7.6629,         7.5726
    744,         0.0064,         0.0001,         0.0000,         0.0062,         0.0000,         0.0002,         0.0046,         3.6005,         6.1056,         7.1979,         7.6492,         8.2342,         8.1601,         7.8708,         7.6638,         7.5733
    745,         0.0064,         0.0001,         0.0000,         0.0062,         0.0000,         0.0002,         0.0046,         3.5689,         6.0619,         7.1789,         7.6444,         8.2291,         8.1585,         7.8714,         7.6647,         7.5740
    746,         0.0063,         0.0001,         0.0000,         0.0061,         0.0000,         0.0002,         0.0045,         3.5378,         6.0194,         7.1597,         7.6391,         8.2241,         8.1568,         7.8720,         7.6656,         7.5747
    747,         0.0062,         0.0001,         0.0000,         0.0061,         0.0000,         0.0002,         0.0045,         3.5071,         5.9778,         7.1401,         7.6334,         8.2190,         8.1551,         7.8726,         7.6665,         7.5754
    748,         0.0062,         0.0001,         0.0000,         0.0060,         0.0000,         0.0002,         0.0044,         3.4773,         5.9374,         7.1204,         7.6274,         8.2141,         8.1534,         7.8732,         7.6674,         7.5761
    749,         0.0061,         0.0001,         0.0000,         0.0060,         0.0000,         0.0002,         0.0044,         3.4478,         5.8979,         7.1004,         7.6209,         8.2091,         8.1517,         7.8738,         7.6683,         7.5768
    750,         0.0061,         0.0001,         0.0000,         0.0059,         0.0000,         0.0002,         0.0044,         3.4181,         5.8588,         7.0799,         7.6139,         8.2041,         8.1500,         7.8743,         7.6691,         7.5775
    751,         0.0060,         0.0001,         0.0000,         0.0059,         0.0000,         0.0002,         0.0043,         3.3889,         5.8206,         7.0594,         7.6065,         8.1991,         8.1483,         7.8749,         7.6700,         7.5782
    752,         0.0060,         0.0001,         0.0000,         0.0058,         0.0000,         0.0002,         0.0043,         3.3603,         5.7834,         7.0387,         7.5988,         8.1941,         8.1466,         7.8754,         7.6709,         7.5789
    753,         0.0059,         0.0001,         0.0000,         0.0058,         0.0000,         0.0002,         0.0043,         3.3321,         5.7469,         7.0180,         7.5908,         8.1891,         8.1448,         7.8759,         7.6717,         7.5796
    754,         0.0059,         0.0001,         0.0000,         0.0057,         0.0000,         0.0002,         0.0042,         3.3047,         5.7114,         6.9972,         7.5824,         8.1842,         8.1431,         7.8764,         7.6726,         7.5804
    755,         0.0058,         0.0001,         0.0000,         0.0057,         0.0000,         0.0002,         0.0042,         3.2778,         5.6765,         6.9763,         7.5737,         8.1792,         8.1413,         7.8769,         7.6735,         7.5811
    756,         0.0058,         0.0001,         0.0000,         0.0056,         0.0000,         0.0002,         0.0042,         3.2520,         5.6427,         6.9557,         7.5648,         8.1742,         8.1396,         7.8773,         7.6743,         7.5818
    757,         0.0057,         0.0001,         0.0000,         0.0056,         0.0000,         0.0002,         0.0041,         3.2263,         5.6093,         6.9348,         7.5556,         8.1693,         8.1378,         7.8778,         7.6752,         7.5825
    758,         0.0057,         0.0001,         0.0000,         0.0055,         0.0000,         0.0002,         0.0041,         3.2018,         5.5786,         6.9145,         7.5463,         8.1644,         8.1361,         7.8782,         7.6760,         7.5832
    759,         0.0057,         0.0001,         0.0000,         0.0055,         0.0000,         0.0002,         0.0041,         3.1761,         5.5518,         6.8942,         7.5367,         8.1594,         8.1343,         7.8786,         7.6768,         7.5839
    760,         0.0056,         0.0001,         0.0000,         0.0054,         0.0000,         0.0002,         0.0040,         3.1490,         5.5240,         6.8732,         7.5264,         8.1544,         8.1326,         7.8790,         7.6777,         7.5846
